"Manufacturer";"Varient";"Details";"India_Locations";"Model";"Distance_Travelled";"Fuel_Type";"Engine_Capacity";"Transmission";"Price_INR"
"Honda";"CR-V";"G 2.0 ";"Jaipur";"1997";"120000";"Petrol";"2000";"Automatic";"2600000"
"Suzuki";"Alto";"VXR ";"Jaipur";"2007";"296000";"CNG";"1000";"Manual";"850000"
"Daihatsu";"Move Conte";"Custom RS ";"Jaipur";"2013";"79000";"Petrol";"658";"Automatic";"1770000"
"Toyota";"Corolla";"GLi 1.3 VVTi ";"Jaipur";"2014";"106000";"Petrol";"1300";"Manual";"3300000"
"Honda";"BR-V";"i-VTEC ";"Jaipur";"2017";"36000";"Petrol";"1500";"Automatic";"4500000"
"Honda";"Civic";"Oriel 1.8 i-VTEC CVT ";"Jaipur";"2018";"110000";"Petrol";"1800";"Automatic";"5200000"
"Mercedes";"Benz E Class";"E230 ";"Jaipur";"1997";"200000";"Petrol";"2300";"Automatic";"2700000"
"Honda";"Civic";"Oriel 1.8 i-VTEC CVT ";"Jaipur";"2018";"93000";"Petrol";"1800";"Automatic";"5730000"
"Suzuki";"Cultus";"VXL (CNG) ";"Jaipur";"2006";"300000";"Petrol";"1000";"Manual";"700000"
"Daihatsu";"Cuore";"CX ";"Jaipur";"2002";"100000";"Petrol";"800";"Manual";"640000"
"Toyota";"Premio";"X EX 1.8 ";"Jaipur";"2005";"200000";"Petrol";"1800";"Automatic";"3200000"
"Suzuki";"Mehran";"VX (CNG) ";"Jaipur";"2011";"75000";"Petrol";"800";"Manual";"795000"
"Honda";"Civic";"EXi Prosmatec ";"Jaipur";"2004";"100000";"Petrol";"1500";"Automatic";"1300000"
"Toyota";"Prado";"TZ 3.0D ";"Jaipur";"2000";"148000";"Diesel";"3000";"Automatic";"5400000"
"Toyota";"Corolla";"SE Limited ";"Jaipur";"1994";"100000";"Petrol";"1500";"Automatic";"1850000"
"Suzuki";"Cultus";"VXR ";"Jaipur";"2005";"70000";"Petrol";"1000";"Manual";"825000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2018";"88000";"Petrol";"1600";"Automatic";"4850000"
"Daihatsu";"Boon";"Cilq ";"Jaipur";"2018";"28000";"Petrol";"1000";"Automatic";"3250000"
"Suzuki";"Alto";"L ";"Jaipur";"2018";"150000";"Petrol";"660";"Automatic";"3350000"
"Toyota";"Corolla";"SE Limited ";"Jaipur";"1994";"150000";"Petrol";"1500";"Automatic";"1750000"
"Daihatsu";"Cuore";"CX ";"Jaipur";"2002";"16900";"Petrol";"800";"Manual";"700000"
"Honda";"Civic Rebirth";"VTi Oriel Prosmatec 1.8 i-VTEC ";"Jaipur";"2014";"128000";"Petrol";"1800";"Automatic";"3550000"
"Toyota";"Corolla";"GL ";"Jaipur";"1981";"124545";"Petrol";"1300";"Manual";"380000"
"Toyota";"Corolla";"Altis SR Cruisetronic 1.6 ";"Jaipur";"2013";"120000";"Petrol";"1600";"Automatic";"3585000"
"FAW";"X-PV";"Dual AC ";"Jaipur";"2017";"70000";"Petrol";"1000";"Manual";"1150000"
"Honda";"City";"1.3 i-VTEC ";"Jaipur";"2018";"86000";"Petrol";"1300";"Manual";"3500000"
"Suzuki";"Vitara";"GL+ 1.6 ";"Jaipur";"2018";"81000";"Petrol";"1600";"Automatic";"4750000"
"Honda";"Civic";"VTi Oriel Automatic 1.6 ";"Jaipur";"1999";"210000";"Petrol";"1600";"Automatic";"1250000"
"Suzuki";"Alto";"VXR AGS ";"Jaipur";"2022";"5800";"Petrol";"660";"Automatic";"3100000"
"Toyota";"Corolla";"XE-G ";"Jaipur";"2000";"140000";"Petrol";"2000";"Manual";"1400000"
"Honda";"Civic Reborn";"VTi Oriel Prosmatec 1.8 i-VTEC ";"Jaipur";"2010";"74000";"Petrol";"1800";"Automatic";"2650000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"61000";"Petrol";"1600";"Automatic";"5200000"
"Suzuki";"Alto";"VXR ";"Jaipur";"2009";"135000";"CNG";"1000";"Manual";"1100000"
"Audi";"A";"1.4 TFSI  ";"Jaipur";"2016";"105000";"Petrol";"1400";"Automatic";"10800000"
"Daihatsu";"Charade";"CX ";"Jaipur";"1988";"10101";"Petrol";"1000";"Manual";"400000"
"Honda";"Civic";"EXi Prosmatec ";"Jaipur";"2002";"200000";"Petrol";"1500";"Automatic";"1400000"
"Suzuki";"Mehran";"VX ";"Jaipur";"2011";"1";"Petrol";"800";"Manual";"910000"
"FAW";"V";"VCT-i ";"Jaipur";"2020";"14355";"Petrol";"1300";"Manual";"2500000"
"Suzuki";"Bolan";"VX ";"Jaipur";"2002";"200000";"Petrol";"800";"Manual";"1150000"
"Nissan";"Sunny";"EX Saloon Automatic 1.6 ";"Jaipur";"2006";"200000";"Petrol";"1600";"Automatic";"1950000"
"Toyota";"Corolla";"Altis X Automatic 1.6 ";"Jaipur";"2021";"25000";"Petrol";"1598";"Automatic";"6050000"
